Long,Lat
-122.8024354,45.485853
-122.5128968,45.5045389
-123.1777189,44.0693392
-123.040887,44.044977
-123.324563,42.457022
-122.8708289,42.3254593
-124.1351851,40.7789369
-121.8431398,39.7718831
-122.7003192,38.4408728
-121.3823504,38.6705071
-122.034689,37.9790809
-121.2729619,37.9623025
-122.1923635,37.7423031
-121.9196217,37.3371379
-119.0327786,35.3721745
-118.4477936,34.1996274
-118.4975734,34.0164637
-118.2781126,33.9609637
-117.7518649,34.0735969
-117.9203727,33.6826024
-118.5910137,34.2022145
-118.1240463,34.0916023
-117.163652,32.726547
-119.8001187,36.7521179
-121.5559115,37.0041079
-121.8273922,37.3665252
-120.0521097,36.9452695
-122.4140304,37.6556169
-122.422614,37.7886494
-122.362324,40.564581
-123.2038891,39.1525336
-121.6339716,39.1281394
-122.6383095,38.9616618
-121.4940297,38.5783864
-121.471427,38.526457
-121.2701348,38.7338747
-122.0518776,38.2577232
-122.2946066,38.303529
-122.2590523,38.09971
-122.5383989,37.9743563
-122.0833978,37.6745746
-122.0705217,37.8978413
-122.328623,37.5644711
-121.9903311,37.7738074
-122.2112958,37.4692171
-122.1061685,37.4034998
-121.8603428,37.2540705
-122.0259612,36.9722481
-121.7763751,36.9302828
-122.6883727,42.1834864
-121.3050629,44.0730242
-122.9857136,44.9586748
-122.6333249,45.4190701
-122.897517,47.0437531
-122.4501938,47.2474672
-122.3014587,47.1628718
-122.3050602,47.6173334
-122.3172198,47.6656099
-122.3429976,47.70527
-122.3348282,47.8216493
-122.2096191,47.9754202
-123.432643,48.1101016
-120.5238162,46.5930432
-119.2220289,46.2314651
-118.3320293,46.0567147
-117.4083201,47.6753704
-121.8496262,36.6027521
-120.6616998,35.2768089
-119.7738501,36.8252182
-121.6528697,36.6826728
-119.692348,34.420989
-119.2178932,34.2594821
-118.322647,34.1836051
-118.1908594,34.1109336
-118.2912471,34.0901802
-118.3799607,34.0867575
-118.2097837,34.0571586
-118.2757235,34.023716
-118.9069757,34.1848706
-118.3530519,33.8985109
-120.4307535,34.9546551
-118.1933559,33.8059024
-117.9888978,33.7528464
-117.847816,33.760221
-118.0377455,33.9719899
-117.9181265,33.8352372
-117.8364088,33.7769284
-118.0139266,34.0899317
-117.9620894,34.0848833
-118.1604277,34.020852
-118.1942302,33.8957844
-118.263772,33.85854
-117.6636152,34.1063268
-117.2855853,34.0677719
-117.3991944,33.9465726
-117.5357603,33.8485311
-116.9532713,33.7478083
-117.2607501,33.9328518
-117.6738267,33.6011144
-117.283768,33.1837905
-117.0904343,33.1282405
